Country,Year,Region,Type,Energy consumption (in Exajoules)
Iran,2003,Middle East,Natural gas,2.8899625877999986
Iraq,2003,Middle East,Natural gas,0.053352
Israel,2003,Middle East,Natural gas,0.0002801354821965001
Kuwait,2003,Middle East,Natural gas,0.342
Oman,2003,Middle East,Natural gas,0.3428854228673892
Qatar,2003,Middle East,Natural gas,0.4706343387183009
Saudi Arabia,2003,Middle East,Natural gas,2.054052
United Arab Emirates,2003,Middle East,Natural gas,1.3295880000000002
Other Middle East,2003,Middle East,Natural gas,0.6297321447936001
Algeria,2003,Africa,Natural gas,0.7413540750000001
Egypt,2003,Africa,Natural gas,1.029105
Morocco,2003,Africa,Natural gas,0.0018243738
South Africa,2003,Africa,Natural gas,0.037890856337913184
Eastern Africa,2003,Africa,Natural gas,0.00010643525999999997
Middle Africa,2003,Africa,Natural gas,0.031302000308699986
Western Africa,2003,Africa,Natural gas,0.4164218684122197
Other Northern Africa,2003,Africa,Natural gas,0.30341955600000003
Other Southern Africa,2003,Africa,Natural gas,0.0
Australia,2003,Asia Pacific,Natural gas,0.8277944142328676
Bangladesh,2003,Asia Pacific,Natural gas,0.4132234737303751
China,2003,Asia Pacific,Natural gas,1.2302902654867256
China Hong Kong SAR,2003,Asia Pacific,Natural gas,0.062451305910000025
India,2003,Asia Pacific,Natural gas,1.023368346
Indonesia,2003,Asia Pacific,Natural gas,1.424094296822064
Japan,2003,Asia Pacific,Natural gas,3.0059361515897995
Malaysia,2003,Asia Pacific,Natural gas,1.0895728320000002
New Zealand,2003,Asia Pacific,Natural gas,0.16064653699191167
Pakistan,2003,Asia Pacific,Natural gas,0.9198136893016002
Philippines,2003,Asia Pacific,Natural gas,0.0925393890613365
Singapore,2003,Asia Pacific,Natural gas,0.1840028913
South Korea,2003,Asia Pacific,Natural gas,0.9116589528000002
Sri Lanka,2003,Asia Pacific,Natural gas,0.0
Taiwan,2003,Asia Pacific,Natural gas,0.3029313341725236
Thailand,2003,Asia Pacific,Natural gas,1.0231984412015238
Vietnam,2003,Asia Pacific,Natural gas,0.08243802000000001
Other Asia Pacific,2003,Asia Pacific,Natural gas,0.16278781725122846
Canada,2004,North America,Natural gas,3.1615119000000003
Mexico,2004,North America,Natural gas,1.7287891349999998
US,2004,North America,Natural gas,21.766598701213745
Argentina,2004,S. & Cent. America,Natural gas,1.3251285000000002
Brazil,2004,S. & Cent. America,Natural gas,0.6956094138741238
Chile,2004,S. & Cent. America,Natural gas,0.338940654492138
Colombia,2004,S. & Cent. America,Natural gas,0.22085352146336412
Ecuador,2004,S. & Cent. America,Natural gas,0.019364036129639998
Peru,2004,S. & Cent. America,Natural gas,0.029799000000000003
Trinidad & Tobago,2004,S. & Cent. America,Natural gas,0.5353392656345658
Venezuela,2004,S. & Cent. America,Natural gas,1.1350638000000004
Central America,2004,S. & Cent. America,Natural gas,0.0
Other Caribbean,2004,S. & Cent. America,Natural gas,0.05642918166215743
Other South America,2004,S. & Cent. America,Natural gas,0.05070609956499444
Austria,2004,Europe,Natural gas,0.3257724151230585
Belgium,2004,Europe,Natural gas,0.6187679999999999
Bulgaria,2004,Europe,Natural gas,0.0943155
Croatia,2004,Europe,Natural gas,0.102306
Cyprus,2004,Europe,Natural gas,0.0
Czech Republic,2004,Europe,Natural gas,0.3260637000000001
Denmark,2004,Europe,Natural gas,0.19494105544643092
Estonia,2004,Europe,Natural gas,0.0324288
Finland,2004,Europe,Natural gas,0.16300800000000004
France,2004,Europe,Natural gas,1.6809308999999997
Germany,2004,Europe,Natural gas,3.1975580000000003
Greece,2004,Europe,Natural gas,0.09307702872
Hungary,2004,Europe,Natural gas,0.490368
Iceland,2004,Europe,Natural gas,0.0
Ireland,2004,Europe,Natural gas,0.15294380400000002
Italy,2004,Europe,Natural gas,2.7843057360000008
Latvia,2004,Europe,Natural gas,0.059623893805309726
Lithuania,2004,Europe,Natural gas,0.09832281120000004
Luxembourg,2004,Europe,Natural gas,0.050068800000000004
Netherlands,2004,Europe,Natural gas,1.5364000000000002
North Macedonia,2004,Europe,Natural gas,0.0024480000000000005
Norway,2004,Europe,Natural gas,0.17186814
Poland,2004,Europe,Natural gas,0.4974156
Portugal,2004,Europe,Natural gas,0.13620078065682004
Romania,2004,Europe,Natural gas,0.5835276
Slovakia,2004,Europe,Natural gas,0.2302074
Slovenia,2004,Europe,Natural gas,0.0376203987918
Spain,2004,Europe,Natural gas,1.0536866846513282
Sweden,2004,Europe,Natural gas,0.033164341697492286
Switzerland,2004,Europe,Natural gas,0.11349
Turkey,2004,Europe,Natural gas,0.7620627600000002
Ukraine,2004,Europe,Natural gas,2.5791592920353987
United Kingdom,2004,Europe,Natural gas,3.6715646625657072
Other Europe,2004,Europe,Natural gas,0.1427788691326018
Azerbaijan,2004,CIS,Natural gas,0.32895063721800005
Belarus,2004,CIS,Natural gas,0.6672372757437166
Kazakhstan,2004,CIS,Natural gas,0.1884759283801951
Russian Federation,2004,CIS,Natural gas,14.242284955752213
Turkmenistan,2004,CIS,Natural gas,0.4123350000000001
USSR,2004,CIS,Natural gas,0.0
Uzbekistan,2004,CIS,Natural gas,1.6566165000000002
Other CIS,2004,CIS,Natural gas,0.17318090720163767
Iran,2004,Middle East,Natural gas,3.3572167117199987
Iraq,2004,Middle East,Natural gas,0.0342
Israel,2004,Middle East,Natural gas,0.041019300000000015
Kuwait,2004,Middle East,Natural gas,0.37278
Oman,2004,Middle East,Natural gas,0.31116542095024513
Qatar,2004,Middle East,Natural gas,0.5656470949550593
Saudi Arabia,2004,Middle East,Natural gas,2.2462560000000003
United Arab Emirates,2004,Middle East,Natural gas,1.4113710000000002
Other Middle East,2004,Middle East,Natural gas,0.6023196811419992
Algeria,2004,Africa,Natural gas,0.7628370749999999
Egypt,2004,Africa,Natural gas,1.0984049999999999
Morocco,2004,Africa,Natural gas,0.0023399577000000013
South Africa,2004,Africa,Natural gas,0.08763414678904392
Eastern Africa,2004,Africa,Natural gas,0.0045242649746099995
Middle Africa,2004,Africa,Natural gas,0.077554575
Western Africa,2004,Africa,Natural gas,0.4009191401970808
Other Northern Africa,2004,Africa,Natural gas,0.3848314253860707
Other Southern Africa,2004,Africa,Natural gas,0.0
Australia,2004,Asia Pacific,Natural gas,0.8443296339159491
Bangladesh,2004,Asia Pacific,Natural gas,0.444248349046425
China,2004,Asia Pacific,Natural gas,1.439422920353982
China Hong Kong SAR,2004,Asia Pacific,Natural gas,0.09021952530000002
India,2004,Asia Pacific,Natural gas,1.1040889860000005
Indonesia,2004,Asia Pacific,Natural gas,1.3032786270189425
Japan,2004,Asia Pacific,Natural gas,2.9017459296332997
Malaysia,2004,Asia Pacific,Natural gas,1.1769932160000005
New Zealand,2004,Asia Pacific,Natural gas,0.14658539588189692
Pakistan,2004,Asia Pacific,Natural gas,1.1043574141962105
Philippines,2004,Asia Pacific,Natural gas,0.0854627958699615
Singapore,2004,Asia Pacific,Natural gas,0.22274034210000002
South Korea,2004,Asia Pacific,Natural gas,1.0682997012000004
Sri Lanka,2004,Asia Pacific,Natural gas,0.0
Taiwan,2004,Asia Pacific,Natural gas,0.3685114095188833
Thailand,2004,Asia Pacific,Natural gas,1.0711813263252383
Vietnam,2004,Asia Pacific,Natural gas,0.14451840000000002
Other Asia Pacific,2004,Asia Pacific,Natural gas,0.1693496207549704
Canada,2005,North America,Natural gas,3.1533029999999997
Mexico,2005,North America,Natural gas,1.897644081
US,2005,North America,Natural gas,21.42694741923059
Argentina,2005,S. & Cent. America,Natural gas,1.4144040000000002
Brazil,2005,S. & Cent. America,Natural gas,0.7245761649443472
Chile,2005,S. & Cent. America,Natural gas,0.3278792779567217
Colombia,2005,S. & Cent. America,Natural gas,0.23206839440452656
Ecuador,2005,S. & Cent. America,Natural gas,0.019881716286285003
Peru,2005,S. & Cent. America,Natural gas,0.05255892435215095
Trinidad & Tobago,2005,S. & Cent. America,Natural gas,0.5895111013202083
Venezuela,2005,S. & Cent. America,Natural gas,1.09566324
Central America,2005,S. & Cent. America,Natural gas,0.0
Other Caribbean,2005,S. & Cent. America,Natural gas,0.0595725069017855
Other South America,2005,S. & Cent. America,Natural gas,0.06089312839581972
Austria,2005,Europe,Natural gas,0.3429974316137601
Belgium,2005,Europe,Natural gas,0.6081651
Bulgaria,2005,Europe,Natural gas,0.1175904
Croatia,2005,Europe,Natural gas,0.09893660000000001
Cyprus,2005,Europe,Natural gas,0.0
Czech Republic,2005,Europe,Natural gas,0.32252759999999997
Denmark,2005,Europe,Natural gas,0.18722009616379734
Estonia,2005,Europe,Natural gas,0.033480900000000015
Finland,2005,Europe,Natural gas,0.149148
France,2005,Europe,Natural gas,1.7176527
Germany,2005,Europe,Natural gas,3.2501177710106357
Greece,2005,Europe,Natural gas,0.093717
Hungary,2005,Europe,Natural gas,0.5063489999999999
Iceland,2005,Europe,Natural gas,0.0
Ireland,2005,Europe,Natural gas,0.14557503600000005
Italy,2005,Europe,Natural gas,2.9797036919999997
Latvia,2005,Europe,Natural gas,0.05792035398230087
Lithuania,2005,Europe,Natural gas,0.10370284920000003
Luxembourg,2005,Europe,Natural gas,0.0492481647
Netherlands,2005,Europe,Natural gas,1.4924000000000002
North Macedonia,2005,Europe,Natural gas,0.0026172524160000005
Norway,2005,Europe,Natural gas,0.15731716621383002
Poland,2005,Europe,Natural gas,0.5122341000000001
Portugal,2005,Europe,Natural gas,0.15436009272672
Romania,2005,Europe,Natural gas,0.5829363000000001
Slovakia,2005,Europe,Natural gas,0.24713550000000006
Slovenia,2005,Europe,Natural gas,0.0388239560478
Spain,2005,Europe,Natural gas,1.24927039406232
Sweden,2005,Europe,Natural gas,0.031598100000000004
Switzerland,2005,Europe,Natural gas,0.11651000000000003
Turkey,2005,Europe,Natural gas,0.92603655
Ukraine,2005,Europe,Natural gas,2.5996017699115046
United Kingdom,2005,Europe,Natural gas,3.5779165882667567
Other Europe,2005,Europe,Natural gas,0.13903733981476107
Azerbaijan,2005,CIS,Natural gas,0.339783377472
Belarus,2005,CIS,Natural gas,0.6840958245267256
Kazakhstan,2005,CIS,Natural gas,0.21812158809909607
Russian Federation,2005,CIS,Natural gas,14.41443716814159
Turkmenistan,2005,CIS,Natural gas,0.41926499999999994
USSR,2005,CIS,Natural gas,0.0
Uzbekistan,2005,CIS,Natural gas,1.6891875
Other CIS,2005,CIS,Natural gas,0.1815596164695984
Iran,2005,Middle East,Natural gas,3.4936884989999997
Iraq,2005,Middle East,Natural gas,0.049589999999999995
Israel,2005,Middle East,Natural gas,0.05653080000000001
Kuwait,2005,Middle East,Natural gas,0.42066
Oman,2005,Middle East,Natural gas,0.3880190266876314
Qatar,2005,Middle East,Natural gas,0.6441303084639654
Saudi Arabia,2005,Middle East,Natural gas,2.436408
United Arab Emirates,2005,Middle East,Natural gas,1.475955
Other Middle East,2005,Middle East,Natural gas,0.6216651156028771
Algeria,2005,Africa,Natural gas,0.80481555
Egypt,2005,Africa,Natural gas,1.09494
Morocco,2005,Africa,Natural gas,0.015308875800000003
South Africa,2005,Africa,Natural gas,0.12439782404296874
Eastern Africa,2005,Africa,Natural gas,0.015110943265845
Middle Africa,2005,Africa,Natural gas,0.075086685
Western Africa,2005,Africa,Natural gas,0.4133088223110633
Other Northern Africa,2005,Africa,Natural gas,0.36504501661908906
Other Southern Africa,2005,Africa,Natural gas,0.0
Australia,2005,Asia Pacific,Natural gas,0.8373233626831982
Bangladesh,2005,Asia Pacific,Natural gas,0.4774808767806001
China,2005,Asia Pacific,Natural gas,1.6911038948672563
China Hong Kong SAR,2005,Asia Pacific,Natural gas,0.09042753950999999
India,2005,Asia Pacific,Natural gas,1.2357229500000002
Indonesia,2005,Asia Pacific,Natural gas,1.3101682676548407
Japan,2005,Asia Pacific,Natural gas,2.9782069139806278
Malaysia,2005,Asia Pacific,Natural gas,1.34542818
New Zealand,2005,Asia Pacific,Natural gas,0.13527448472870887
Pakistan,2005,Asia Pacific,Natural gas,1.1739667910945129
Philippines,2005,Asia Pacific,Natural gas,0.11319230428013702
Singapore,2005,Asia Pacific,Natural gas,0.2226919202865
South Korea,2005,Asia Pacific,Natural gas,1.143812826
Sri Lanka,2005,Asia Pacific,Natural gas,0.0
Taiwan,2005,Asia Pacific,Natural gas,0.37152289806926775
Thailand,2005,Asia Pacific,Natural gas,1.154130872518241
Vietnam,2005,Asia Pacific,Natural gas,0.22372560000000005
Other Asia Pacific,2005,Asia Pacific,Natural gas,0.18488923968555204
Canada,2006,North America,Natural gas,3.134646
Mexico,2006,North America,Natural gas,2.0983782090000003
US,2006,North America,Natural gas,21.11679961360452
Argentina,2006,S. & Cent. America,Natural gas,1.463418
Brazil,2006,S. & Cent. America,Natural gas,0.762112141353779
Chile,2006,S. & Cent. America,Natural gas,0.3034205948950154
Colombia,2006,S. & Cent. America,Natural gas,0.2435285620294415
Ecuador,2006,S. & Cent. America,Natural gas,0.02172391143831
Peru,2006,S. & Cent. America,Natural gas,0.061511191371751275
Trinidad & Tobago,2006,S. & Cent. America,Natural gas,0.6939415763832438
Venezuela,2006,S. & Cent. America,Natural gas,1.2580207200000002
Central America,2006,S. & Cent. America,Natural gas,0.0
Other Caribbean,2006,S. & Cent. America,Natural gas,0.07839208083245637
Other South America,2006,S. & Cent. America,Natural gas,0.0644446080483562
Austria,2006,Europe,Natural gas,0.3223152282211462
Belgium,2006,Europe,Natural gas,0.6260003999999999
Bulgaria,2006,Europe,Natural gas,0.1211652
Croatia,2006,Europe,Natural gas,0.09784520000000002
Cyprus,2006,Europe,Natural gas,0.0
Czech Republic,2006,Europe,Natural gas,0.31792590000000004
Denmark,2006,Europe,Natural gas,0.19073846727977997
Estonia,2006,Europe,Natural gas,0.033835500000000004
Finland,2006,Europe,Natural gas,0.15940800000000005
France,2006,Europe,Natural gas,1.6588998
Germany,2006,Europe,Natural gas,3.3122482735877967
Greece,2006,Europe,Natural gas,0.11049480000000003
Hungary,2006,Europe,Natural gas,0.4796720000000001
Iceland,2006,Europe,Natural gas,0.0
Ireland,2006,Europe,Natural gas,0.16525299599999999
Italy,2006,Europe,Natural gas,2.918115864
Latvia,2006,Europe,Natural gas,0.05986238938053098
Lithuania,2006,Europe,Natural gas,0.10276500600000002
Luxembourg,2006,Europe,Natural gas,0.05151351690000002
Netherlands,2006,Europe,Natural gas,1.4330999999999998
North Macedonia,2006,Europe,Natural gas,0.0028028951280000013
Norway,2006,Europe,Natural gas,0.15593908331826
Poland,2006,Europe,Natural gas,0.5180517000000001
Portugal,2006,Europe,Natural gas,0.14826378657420006
Romania,2006,Europe,Natural gas,0.5944698
Slovakia,2006,Europe,Natural gas,0.22516109999999998
Slovenia,2006,Europe,Natural gas,0.0376478638866
Spain,2006,Europe,Natural gas,1.3074253168645444
Sweden,2006,Europe,Natural gas,0.033079500000000005
Switzerland,2006,Europe,Natural gas,0.11329000000000002
Turkey,2006,Europe,Natural gas,1.0510937100000002
Ukraine,2006,Europe,Natural gas,2.5212389380530973
United Kingdom,2006,Europe,Natural gas,3.3933685473410744
Other Europe,2006,Europe,Natural gas,0.1601900432743363
Azerbaijan,2006,CIS,Natural gas,0.35919650604599995
Belarus,2006,CIS,Natural gas,0.6982119646017699
Kazakhstan,2006,CIS,Natural gas,0.2394798947876644
Russian Federation,2006,CIS,Natural gas,15.182500884955752
Turkmenistan,2006,CIS,Natural gas,0.431739
USSR,2006,CIS,Natural gas,0.0
Uzbekistan,2006,CIS,Natural gas,1.5589035000000002
Other CIS,2006,CIS,Natural gas,0.187650787168142
Iran,2006,Middle East,Natural gas,3.808224000000001
Iraq,2006,Middle East,Natural gas,0.049589999999999995
Israel,2006,Middle East,Natural gas,0.0789363
Kuwait,2006,Middle East,Natural gas,0.424422
Oman,2006,Middle East,Natural gas,0.4332876899565431
Qatar,2006,Middle East,Natural gas,0.6393205930068545
Saudi Arabia,2006,Middle East,Natural gas,2.5123662
United Arab Emirates,2006,Middle East,Natural gas,1.521936
Other Middle East,2006,Middle East,Natural gas,0.6794674803559324
Algeria,2006,Africa,Natural gas,0.8225910000000001
Egypt,2006,Africa,Natural gas,1.264725
Morocco,2006,Africa,Natural gas,0.01899728370000001
South Africa,2006,Africa,Natural gas,0.13480816907812498
Eastern Africa,2006,Africa,Natural gas,0.0186963989805675
Middle Africa,2006,Africa,Natural gas,0.07646515200000001
Western Africa,2006,Africa,Natural gas,0.3607032211011635
Other Northern Africa,2006,Africa,Natural gas,0.33940524622184104
Other Southern Africa,2006,Africa,Natural gas,0.0
Australia,2006,Asia Pacific,Natural gas,0.933950271146992
Bangladesh,2006,Asia Pacific,Natural gas,0.5170812552674999
China,2006,Asia Pacific,Natural gas,2.0802152547787607
China Hong Kong SAR,2006,Asia Pacific,Natural gas,0.0992046339
India,2006,Asia Pacific,Natural gas,1.29157875
Indonesia,2006,Asia Pacific,Natural gas,1.336009043223225
Japan,2006,Asia Pacific,Natural gas,3.1878120713084934
Malaysia,2006,Asia Pacific,Natural gas,1.3991029560000003
New Zealand,2006,Asia Pacific,Natural gas,0.1373559176044043
Pakistan,2006,Asia Pacific,Natural gas,1.199501224015491
Philippines,2006,Asia Pacific,Natural gas,0.106008342088617
Singapore,2006,Asia Pacific,Natural gas,0.2933877679965
South Korea,2006,Asia Pacific,Natural gas,1.2059491248000005
Sri Lanka,2006,Asia Pacific,Natural gas,0.0
Taiwan,2006,Asia Pacific,Natural gas,0.3985145514241272
Thailand,2006,Asia Pacific,Natural gas,1.1884043618923232
Vietnam,2006,Asia Pacific,Natural gas,0.24318
Other Asia Pacific,2006,Asia Pacific,Natural gas,0.1975817992387954
Canada,2007,North America,Natural gas,3.3716312999999993
Mexico,2007,North America,Natural gas,2.0534896750000007
US,2007,North America,Natural gas,22.46897913487792
Argentina,2007,S. & Cent. America,Natural gas,1.5376392000000003
Brazil,2007,S. & Cent. America,Natural gas,0.7848589108978166
Chile,2007,S. & Cent. America,Natural gas,0.17885172240000005
Colombia,2007,S. & Cent. America,Natural gas,0.2578188323975963
Ecuador,2007,S. & Cent. America,Natural gas,0.01968591111320557
Peru,2007,S. & Cent. America,Natural gas,0.09270717550793832
Trinidad & Tobago,2007,S. & Cent. America,Natural gas,0.7072209962122551
Venezuela,2007,S. & Cent. America,Natural gas,1.341614020562325
Central America,2007,S. & Cent. America,Natural gas,0.0
Other Caribbean,2007,S. & Cent. America,Natural gas,0.08895239903117316
Other South America,2007,S. & Cent. America,Natural gas,0.07177207292178511
Austria,2007,Europe,Natural gas,0.3049522350199276
Belgium,2007,Europe,Natural gas,0.6306849
Bulgaria,2007,Europe,Natural gas,0.12210840000000002
Croatia,2007,Europe,Natural gas,0.1124278
Cyprus,2007,Europe,Natural gas,0.0
Czech Republic,2007,Europe,Natural gas,0.30306780000000005
Denmark,2007,Europe,Natural gas,0.17096260691973686
Estonia,2007,Europe,Natural gas,0.0336348
Finland,2007,Europe,Natural gas,0.14745600000000006
France,2007,Europe,Natural gas,1.6113933000000005
Germany,2007,Europe,Natural gas,3.1909030508088567
Greece,2007,Europe,Natural gas,0.13992412282812006
Hungary,2007,Europe,Natural gas,0.4481900000000001
Iceland,2007,Europe,Natural gas,0.0
Ireland,2007,Europe,Natural gas,0.17940438
Italy,2007,Europe,Natural gas,2.9324205340749003
Latvia,2007,Europe,Natural gas,0.05792035398230087
Lithuania,2007,Europe,Natural gas,0.1210864428
Luxembourg,2007,Europe,Natural gas,0.0480835215
Netherlands,2007,Europe,Natural gas,1.3970000000000002
North Macedonia,2007,Europe,Natural gas,0.0035763645600000006
Norway,2007,Europe,Natural gas,0.15034001269662006
Poland,2007,Europe,Natural gas,0.5181910000200001
Portugal,2007,Europe,Natural gas,0.15801790717620004
Romania,2007,Europe,Natural gas,0.5343191999999999
Slovakia,2007,Europe,Natural gas,0.2130804
Slovenia,2007,Europe,Natural gas,0.0382855584078
Spain,2007,Europe,Natural gas,1.3304617893252
Sweden,2007,Europe,Natural gas,0.034138800000000004
Switzerland,2007,Europe,Natural gas,0.11031000000000003
Turkey,2007,Europe,Natural gas,1.2200656500000002
Ukraine,2007,Europe,Natural gas,2.378141592920354
United Kingdom,2007,Europe,Natural gas,3.430818515786065
Other Europe,2007,Europe,Natural gas,0.15370854198230088
Azerbaijan,2007,CIS,Natural gas,0.3162588128280001
Belarus,2007,CIS,Natural gas,0.7009752920353982
Kazakhstan,2007,CIS,Natural gas,0.2921977377117854
Russian Federation,2007,CIS,Natural gas,15.437418584070796
Turkmenistan,2007,CIS,Natural gas,0.40194
USSR,2007,CIS,Natural gas,0.0
Uzbekistan,2007,CIS,Natural gas,1.6860690000000005
Other CIS,2007,CIS,Natural gas,0.21212324614513328
Iran,2007,Middle East,Natural gas,4.267880037
Iraq,2007,Middle East,Natural gas,0.16354645199999998
Israel,2007,Middle East,Natural gas,0.0944478
Kuwait,2007,Middle East,Natural gas,0.385092
Oman,2007,Middle East,Natural gas,0.4378492613013861
Qatar,2007,Middle East,Natural gas,0.6933346637445561
Saudi Arabia,2007,Middle East,Natural gas,2.5451639999999998
United Arab Emirates,2007,Middle East,Natural gas,1.725776442
Other Middle East,2007,Middle East,Natural gas,0.7016185595661804
Algeria,2007,Africa,Natural gas,0.8417045323076923
Egypt,2007,Africa,Natural gas,1.329174
Morocco,2007,Africa,Natural gas,0.021430046502
South Africa,2007,Africa,Natural gas,0.13647133336640627
Eastern Africa,2007,Africa,Natural gas,0.020841259652723185
Middle Africa,2007,Africa,Natural gas,0.071717787
Western Africa,2007,Africa,Natural gas,0.4485699490972924
Other Northern Africa,2007,Africa,Natural gas,0.3703419324608783
Other Southern Africa,2007,Africa,Natural gas,0.0
Australia,2007,Asia Pacific,Natural gas,1.0447133578409236
Bangladesh,2007,Asia Pacific,Natural gas,0.5521093403017501
China,2007,Asia Pacific,Natural gas,2.5588043568761054
China Hong Kong SAR,2007,Asia Pacific,Natural gas,0.09267944858999999
India,2007,Asia Pacific,Natural gas,1.3971693896479933
Indonesia,2007,Asia Pacific,Natural gas,1.247113493732043
Japan,2007,Asia Pacific,Natural gas,3.434042307120269
Malaysia,2007,Asia Pacific,Natural gas,1.4544524520000004
New Zealand,2007,Asia Pacific,Natural gas,0.1517483319481686
Pakistan,2007,Asia Pacific,Natural gas,1.2168091909399097
Philippines,2007,Asia Pacific,Natural gas,0.12709658979891453
Singapore,2007,Asia Pacific,Natural gas,0.2933877679965
South Korea,2007,Asia Pacific,Natural gas,1.3061434356
Sri Lanka,2007,Asia Pacific,Natural gas,0.0
Taiwan,2007,Asia Pacific,Natural gas,0.4228164761084461
Thailand,2007,Asia Pacific,Natural gas,1.2661936299099024
Vietnam,2007,Asia Pacific,Natural gas,0.2459592
Other Asia Pacific,2007,Asia Pacific,Natural gas,0.2219301715162455
Canada,2008,North America,Natural gas,3.3315794999999997
Mexico,2008,North America,Natural gas,2.1598768219999998
US,2008,North America,Natural gas,22.64008239575423
Argentina,2008,S. & Cent. America,Natural gas,1.5547941000000003
Brazil,2008,S. & Cent. America,Natural gas,0.9237918766555394
Chile,2008,S. & Cent. America,Natural gas,0.09954535680000004
Colombia,2008,S. & Cent. America,Natural gas,0.2619041203402214
Ecuador,2008,S. & Cent. America,Natural gas,0.01795649353909805
Peru,2008,S. & Cent. America,Natural gas,0.11769804503765895
Trinidad & Tobago,2008,S. & Cent. America,Natural gas,0.6896917184320911
Venezuela,2008,S. & Cent. America,Natural gas,1.25638405608222
Central America,2008,S. & Cent. America,Natural gas,0.0
Other Caribbean,2008,S. & Cent. America,Natural gas,0.09031390849307172
Other South America,2008,S. & Cent. America,Natural gas,0.07988828932137197
Austria,2008,Europe,Natural gas,0.3264679754362929
Belgium,2008,Europe,Natural gas,0.6264522
Bulgaria,2008,Europe,Natural gas,0.1221165
Croatia,2008,Europe,Natural gas,0.1089734
Cyprus,2008,Europe,Natural gas,0.0
Czech Republic,2008,Europe,Natural gas,0.3003417
Denmark,2008,Europe,Natural gas,0.17177795826072007
Estonia,2008,Europe,Natural gas,0.0322596
Finland,2008,Europe,Natural gas,0.15077000000000004
France,2008,Europe,Natural gas,1.6699122
Germany,2008,Europe,Natural gas,3.222022691170788
Greece,2008,Europe,Natural gas,0.14589648896955792
Hungary,2008,Europe,Natural gas,0.4421610000000001
Iceland,2008,Europe,Natural gas,0.0
Ireland,2008,Europe,Natural gas,0.18794545200000007
Italy,2008,Europe,Natural gas,2.910654567620285
Latvia,2008,Europe,Natural gas,0.056727876106194675
Lithuania,2008,Europe,Natural gas,0.10868932800000003
Luxembourg,2008,Europe,Natural gas,0.04577103
Netherlands,2008,Europe,Natural gas,1.4540000000000002
North Macedonia,2008,Europe,Natural gas,0.0040663876319999995
Norway,2008,Europe,Natural gas,0.15478197016914
Poland,2008,Europe,Natural gas,0.5631710000000001
Portugal,2008,Europe,Natural gas,0.17288446342931998
Romania,2008,Europe,Natural gas,0.5090922
Slovakia,2008,Europe,Natural gas,0.2163033
Slovenia,2008,Europe,Natural gas,0.03677030980919999
Spain,2008,Europe,Natural gas,1.4613182391169444
Sweden,2008,Europe,Natural gas,0.030996900000000008
Switzerland,2008,Europe,Natural gas,0.11753
Turkey,2008,Europe,Natural gas,1.2707365500000003
Ukraine,2008,Europe,Natural gas,2.258893805309735
United Kingdom,2008,Europe,Natural gas,3.5219709460794215
Other Europe,2008,Europe,Natural gas,0.1310638793982301
Azerbaijan,2008,CIS,Natural gas,0.3618278251308001
Belarus,2008,CIS,Natural gas,0.7178922477876107
Kazakhstan,2008,CIS,Natural gas,0.3080075594375624
Russian Federation,2008,CIS,Natural gas,15.218917699115044
Turkmenistan,2008,CIS,Natural gas,0.28413
USSR,2008,CIS,Natural gas,0.0
Uzbekistan,2008,CIS,Natural gas,1.5887025
Other CIS,2008,CIS,Natural gas,0.2136630782690271
Iran,2008,Middle East,Natural gas,4.5283217562
Iraq,2008,Middle East,Natural gas,0.2324745
Israel,2008,Middle East,Natural gas,0.12995190000000004
Kuwait,2008,Middle East,Natural gas,0.4343400000000001
Oman,2008,Middle East,Natural gas,0.4816947638042206
Qatar,2008,Middle East,Natural gas,0.7451200233878669
Saudi Arabia,2008,Middle East,Natural gas,2.751048
United Arab Emirates,2008,Middle East,Natural gas,2.0869961580000003
Other Middle East,2008,Middle East,Natural gas,0.7459951145353578
Algeria,2008,Africa,Natural gas,0.87855075
Egypt,2008,Africa,Natural gas,1.4151060000000002
Morocco,2008,Africa,Natural gas,0.021162736080000005
South Africa,2008,Africa,Natural gas,0.14118913336640626
Eastern Africa,2008,Africa,Natural gas,0.022157492941736617
Middle Africa,2008,Africa,Natural gas,0.07430130000000001
Western Africa,2008,Africa,Natural gas,0.4187372226757973
Other Northern Africa,2008,Africa,Natural gas,0.3953789906001732
Other Southern Africa,2008,Africa,Natural gas,0.0
Australia,2008,Asia Pacific,Natural gas,1.0272584855722002
Bangladesh,2008,Asia Pacific,Natural gas,0.58955112531315
China,2008,Asia Pacific,Natural gas,2.9495846124991143
China Hong Kong SAR,2008,Asia Pacific,Natural gas,0.1072111086
India,2008,Asia Pacific,Natural gas,1.4395559761627852
Indonesia,2008,Asia Pacific,Natural gas,1.429008682035123
Japan,2008,Asia Pacific,Natural gas,3.5675818080159587
Malaysia,2008,Asia Pacific,Natural gas,1.5677891280000005
New Zealand,2008,Asia Pacific,Natural gas,0.14056269868206706
Pakistan,2008,Asia Pacific,Natural gas,1.2458739945702595
Philippines,2008,Asia Pacific,Natural gas,0.1337944632443235
Singapore,2008,Asia Pacific,Natural gas,0.31371330843126005
South Korea,2008,Asia Pacific,Natural gas,1.3441260852
Sri Lanka,2008,Asia Pacific,Natural gas,0.0
Taiwan,2008,Asia Pacific,Natural gas,0.4595745165896376
Thailand,2008,Asia Pacific,Natural gas,1.329902122517708
Vietnam,2008,Asia Pacific,Natural gas,0.26051526
