Country,Year,Region,Type,Energy consumption (in Exajoules)
Africa,1993,Africa,Biofuel,0.0
Australia,1993,Asia Pacific,Biofuel,0.0
China,1993,Asia Pacific,Biofuel,0.0
India,1993,Asia Pacific,Biofuel,0.0
Indonesia,1993,Asia Pacific,Biofuel,0.0
South Korea,1993,Asia Pacific,Biofuel,0.0
Thailand,1993,Asia Pacific,Biofuel,0.0
Other Asia Pacific,1993,Asia Pacific,Biofuel,0.0
Canada,1994,North America,Biofuel,0.0
Mexico,1994,North America,Biofuel,0.0
US,1994,North America,Biofuel,0.10384661616161617
Argentina,1994,S. & Cent. America,Biofuel,0.0
Brazil,1994,S. & Cent. America,Biofuel,0.278147074905
Colombia,1994,S. & Cent. America,Biofuel,0.0
Other S. & Cent. America,1994,S. & Cent. America,Biofuel,0.03697470392
Austria,1994,Europe ,Biofuel,0.0002646426654015476
Belgium,1994,Europe ,Biofuel,0.0
Finland,1994,Europe ,Biofuel,0.0
France,1994,Europe ,Biofuel,0.003936792355116528
Germany,1994,Europe ,Biofuel,0.0010354282560706405
Italy,1994,Europe ,Biofuel,0.0
Netherlands,1994,Europe ,Biofuel,0.0
Poland,1994,Europe ,Biofuel,0.0
Portugal,1994,Europe ,Biofuel,0.0
Spain,1994,Europe ,Biofuel,0.0
Sweden,1994,Europe ,Biofuel,0.0
United Kingdom,1994,Europe ,Biofuel,0.0
Other Europe,1994,Europe ,Biofuel,0.0002930223496026692
CIS,1994,CIS,Biofuel,0.0
Middle East,1994,Middle East,Biofuel,0.0
Africa,1994,Africa,Biofuel,0.0
Australia,1994,Asia Pacific,Biofuel,0.0
China,1994,Asia Pacific,Biofuel,0.0
India,1994,Asia Pacific,Biofuel,0.0
Indonesia,1994,Asia Pacific,Biofuel,0.0
South Korea,1994,Asia Pacific,Biofuel,0.0
Thailand,1994,Asia Pacific,Biofuel,0.0
Other Asia Pacific,1994,Asia Pacific,Biofuel,0.0
Canada,1995,North America,Biofuel,0.0
Mexico,1995,North America,Biofuel,0.0
US,1995,North America,Biofuel,0.11139257575757576
Argentina,1995,S. & Cent. America,Biofuel,0.0
Brazil,1995,S. & Cent. America,Biofuel,0.28761527901456
Colombia,1995,S. & Cent. America,Biofuel,0.0
Other S. & Cent. America,1995,S. & Cent. America,Biofuel,0.03903248272
Austria,1995,Europe ,Biofuel,0.0004724202763044472
Belgium,1995,Europe ,Biofuel,0.0
Finland,1995,Europe ,Biofuel,0.0
France,1995,Europe ,Biofuel,0.00625655197455391
Germany,1995,Europe ,Biofuel,0.001294130075040142
Italy,1995,Europe ,Biofuel,0.0
Netherlands,1995,Europe ,Biofuel,0.0
Poland,1995,Europe ,Biofuel,0.0
Portugal,1995,Europe ,Biofuel,0.0
Spain,1995,Europe ,Biofuel,0.0
Sweden,1995,Europe ,Biofuel,0.0
United Kingdom,1995,Europe ,Biofuel,0.0
Other Europe,1995,Europe ,Biofuel,0.000662993342914758
CIS,1995,CIS,Biofuel,0.0
Middle East,1995,Middle East,Biofuel,0.0
Africa,1995,Africa,Biofuel,0.0
Australia,1995,Asia Pacific,Biofuel,0.0
China,1995,Asia Pacific,Biofuel,0.0
India,1995,Asia Pacific,Biofuel,0.0
Indonesia,1995,Asia Pacific,Biofuel,0.0
South Korea,1995,Asia Pacific,Biofuel,0.0
Thailand,1995,Asia Pacific,Biofuel,0.0
Other Asia Pacific,1995,Asia Pacific,Biofuel,0.0
Canada,1996,North America,Biofuel,0.0
Mexico,1996,North America,Biofuel,0.0
US,1996,North America,Biofuel,0.07989919191919193
Argentina,1996,S. & Cent. America,Biofuel,0.0
Brazil,1996,S. & Cent. America,Biofuel,0.2994254036172
Colombia,1996,S. & Cent. America,Biofuel,0.0
Other S. & Cent. America,1996,S. & Cent. America,Biofuel,0.036989424920000014
Austria,1996,Europe ,Biofuel,0.0004633202079858172
Belgium,1996,Europe ,Biofuel,0.0
Finland,1996,Europe ,Biofuel,0.0
France,1996,Europe ,Biofuel,0.009378277182348965
Germany,1996,Europe ,Biofuel,0.002032759019139498
Italy,1996,Europe ,Biofuel,0.0
Netherlands,1996,Europe ,Biofuel,0.0
Poland,1996,Europe ,Biofuel,0.0
Portugal,1996,Europe ,Biofuel,0.0
Spain,1996,Europe ,Biofuel,0.0
Sweden,1996,Europe ,Biofuel,0.0
United Kingdom,1996,Europe ,Biofuel,0.0
Other Europe,1996,Europe ,Biofuel,0.0009183023584827775
CIS,1996,CIS,Biofuel,0.0
Middle East,1996,Middle East,Biofuel,0.0
Africa,1996,Africa,Biofuel,0.0
Australia,1996,Asia Pacific,Biofuel,0.0
China,1996,Asia Pacific,Biofuel,0.0
India,1996,Asia Pacific,Biofuel,0.0
Indonesia,1996,Asia Pacific,Biofuel,0.0
South Korea,1996,Asia Pacific,Biofuel,0.0
Thailand,1996,Asia Pacific,Biofuel,0.0
Other Asia Pacific,1996,Asia Pacific,Biofuel,0.0
Canada,1997,North America,Biofuel,0.0
Mexico,1997,North America,Biofuel,0.0
US,1997,North America,Biofuel,0.10117338383838384
Argentina,1997,S. & Cent. America,Biofuel,0.0
Brazil,1997,S. & Cent. America,Biofuel,0.28930408257240003
Colombia,1997,S. & Cent. America,Biofuel,0.0
Other S. & Cent. America,1997,S. & Cent. America,Biofuel,0.038664004000000016
Austria,1997,Europe ,Biofuel,0.0005486968612827056
Belgium,1997,Europe ,Biofuel,0.0
Finland,1997,Europe ,Biofuel,0.0
France,1997,Europe ,Biofuel,0.012264582909695013
Germany,1997,Europe ,Biofuel,0.0033249443050517
Italy,1997,Europe ,Biofuel,0.0
Netherlands,1997,Europe ,Biofuel,0.0
Poland,1997,Europe ,Biofuel,0.0
Portugal,1997,Europe ,Biofuel,0.0
